Attack,Attack_Cost,Attack_Perm,AttackSpeed,AttackSpeed_Cost,AttackSpeed_Perm,CriticalChance,CriticalChance_Cost,CriticalChance_Perm,CriticalDamage,CriticalDamage_Cost,CriticalDamage_Perm,AttackRange,AttackRange_Cost,AttackRange_Perm,Health,Health_Cost,Health_Perm,Regeneration,Regeneration_Cost,Regeneration_Perm,Defense,Defense_Cost,Defense_Perm,Reflection,Reflection_Cost,Reflection_Perm,LifeSteal,LifeSteal_Cost,LifeSteal_Perm,GoldMultiplier,GoldMultiplier_Cost,GoldMultiplier_Perm,GoldPerWave,GoldPerWave_Cost,GoldPerWave_Perm,CoinMultiplier,CoinMultiplier_Cost,CoinMultiplier_Perm,CoinPerWave,CoinPerWave_Cost,CoinPerWave_Perm,,,
1283,6565,150021,,,,,,,12.4,7246,220527,,,,33903,6565,150021,200,6565,150021,1929,8552,150041,,,,,,,2.12,7246,150021,448,20824,150021,2.12,7246,353228,113,24275,353228,,,
1303,6697,153614,,,,,,,12.5,7391,225939,,,,34794,6697,153614,203,6697,153614,1979,8745,153634,,,,,,,2.13,7391,153614,452,21329,153614,2.13,7391,362158,114,24819,362158,,,
1324,6830,157262,,,,,,,12.6,7538,231439,,,,35700,6830,157262,207,6830,157262,2029,8941,157282,,,,,,,2.14,7538,157262,456,21842,157262,2.14,7538,371237,115,25371,371237,,,
1344,6964,160968,,,,,,,12.7,7687,237027,,,,36622,6964,160968,211,6964,160968,2080,9139,160988,,,,,,,2.15,7687,160968,460,22364,160968,2.15,7687,380466,116,25931,380466,,,
1365,7100,164731,,,,,,,12.8,7838,242703,,,,37560,7100,164731,214,7100,164731,2132,9341,164751,,,,,,,2.16,7838,164731,464,22893,164731,2.16,7838,389846,117,26499,389846,,,
1385,7238,168551,,,,,,,12.9,7990,248469,,,,38513,7238,168551,218,7238,168551,2185,9545,168571,,,,,,,2.17,7990,168551,468,23431,168551,2.17,7990,399380,118,27074,399380,,,
1406,7377,172430,,,,,,,13,8144,254325,,,,39483,7377,172430,222,7377,172430,2239,9753,172450,,,,,,,2.18,8144,172430,472,23977,172430,2.18,8144,409067,119,27658,409067,,,
1427,7518,176367,,,,,,,13.1,8300,260272,,,,40469,7518,176367,226,7518,176367,2294,9963,176387,,,,,,,2.19,8300,176367,476,24531,176367,2.19,8300,418910,120,28249,418910,,,
1449,7660,180363,,,,,,,13.2,8458,266311,,,,41471,7660,180363,230,7660,180363,2349,10176,180383,,,,,,,2.2,8458,180363,480,25094,180363,2.2,8458,428909,121,28849,428909,,,
1470,7804,184418,,,,,,,13.3,8617,272442,,,,42490,7804,184418,233,7804,184418,2406,10392,184438,,,,,,,2.21,8617,184418,484,25665,184418,2.21,8617,439065,122,29457,439065,,,
1492,7949,188533,,,,,,,13.4,8779,278665,,,,43525,7949,188533,237,7949,188533,2463,10611,188553,,,,,,,2.22,8779,188533,488,26245,188533,2.22,8779,449381,123,30073,449381,,,
1513,8096,192709,,,,,,,13.5,8942,284983,,,,44577,8096,192709,241,8096,192709,2521,10833,192729,,,,,,,2.23,8942,192709,492,26834,192709,2.23,8942,459857,124,30698,459857,,,
1535,8245,196945,,,,,,,13.6,9107,291394,,,,45646,8245,196945,245,8245,196945,2581,11058,196965,,,,,,,2.24,9107,196945,496,27431,196945,2.24,9107,470494,125,31330,470494,,,
1557,8395,201242,,,,,,,13.7,9273,297901,,,,46732,8395,201242,249,8395,201242,2641,11286,201262,,,,,,,2.25,9273,201242,500,28037,201242,2.25,9273,481294,126,31971,481294,,,
1579,8547,205601,,,,,,,13.8,9442,304504,,,,47835,8547,205601,253,8547,205601,2702,11517,205621,,,,,,,2.26,9442,205601,504,28651,205601,2.26,9442,492257,127,32621,492257,,,
1602,8701,210022,,,,,,,13.9,9612,311202,,,,48956,8701,210022,257,8701,210022,2764,11752,210042,,,,,,,2.27,9612,210022,508,29275,210022,2.27,9612,503386,128,33279,503386,,,
1624,8856,214505,,,,,,,14,9785,317998,,,,50093,8856,214505,262,8856,214505,2827,11989,214525,,,,,,,2.28,9785,214505,512,29907,214505,2.28,9785,514681,129,33945,514681,,,
1647,9013,219051,,,,,,,14.1,9959,324892,,,,51249,9013,219051,266,9013,219051,2891,12229,219071,,,,,,,2.29,9959,219051,516,30549,219051,2.29,9959,526143,130,34620,526143,,,
1669,9171,223660,,,,,,,14.2,10135,331884,,,,52422,9171,223660,270,9171,223660,2956,12473,223680,,,,,,,2.3,10135,223660,520,31199,223660,2.3,10135,537774,131,35304,537774,,,
1692,9332,228333,,,,,,,14.3,10312,338976,,,,53613,9332,228333,274,9332,228333,3022,12720,228353,,,,,,,2.31,10312,228333,524,31859,228333,2.31,10312,549576,132,35996,549576,,,
1715,9494,233071,,,,,,,14.4,10492,346167,,,,54821,9494,233071,278,9494,233071,3089,12969,233091,,,,,,,2.32,10492,233071,528,32527,233071,2.32,10492,561548,133,36697,561548,,,
1739,9657,237872,,,,,,,14.5,10674,353459,,,,56048,9657,237872,283,9657,237872,3157,13222,237892,,,,,,,2.33,10674,237872,532,33205,237872,2.33,10674,573693,134,37407,573693,,,
1762,9822,242739,,,,,,,14.6,10857,360852,,,,57293,9822,242739,287,9822,242739,3226,13479,242759,,,,,,,2.34,10857,242739,536,33893,242739,2.34,10857,586012,135,38126,586012,,,
1785,9989,247672,,,,,,,14.7,11043,368348,,,,58557,9989,247672,291,9989,247672,3296,13738,247692,,,,,,,2.35,11043,247672,540,34589,247672,2.35,11043,598505,136,38853,598505,,,
1809,10158,252670,,,,,,,14.8,11230,375946,,,,59839,10158,252670,296,10158,252670,3367,14001,252690,,,,,,,2.36,11230,252670,544,35295,252670,2.36,11230,611175,137,39590,611175,,,
1833,10328,257734,,,,,,,14.9,11419,383647,,,,61140,10328,257734,300,10328,257734,3439,14267,257754,,,,,,,2.37,11419,257734,548,36011,257734,2.37,11419,624022,138,40335,624022,,,
1857,10500,262866,,,,,,,15,11610,391452,,,,62459,10500,262866,305,10500,262866,3512,14536,262886,,,,,,,2.38,11610,262866,552,36736,262866,2.38,11610,637047,139,41090,637047,,,
1881,10674,268064,,,,,,,15.1,11803,399362,,,,63797,10674,268064,309,10674,268064,3586,14808,268084,,,,,,,2.39,11803,268064,556,37471,268064,2.39,11803,650253,140,41854,650253,,,
1905,10849,273330,,,,,,,15.2,11998,407378,,,,65154,10849,273330,314,10849,273330,3661,15084,273350,,,,,,,2.4,11998,273330,560,38215,273330,2.4,11998,663640,141,42627,663640,,,
1930,11026,278665,,,,,,,15.3,12195,415500,,,,66531,11026,278665,318,11026,278665,3737,15363,278685,,,,,,,2.41,12195,278665,564,38970,278665,2.41,12195,677208,142,43409,677208,,,
1955,11205,284067,,,,,,,15.4,12394,423728,,,,67927,11205,284067,323,11205,284067,3815,15646,284087,,,,,,,2.42,12394,284067,568,39734,284067,2.42,12394,690961,143,44200,690961,,,
1979,11386,289539,,,,,,,15.5,12595,432064,,,,69342,11386,289539,327,11386,289539,3893,15932,289559,,,,,,,2.43,12595,289539,572,40508,289539,2.43,12595,704898,144,45000,704898,,,
2004,11568,295080,,,,,,,15.6,12798,440509,,,,70777,11568,295080,332,11568,295080,3972,16221,295100,,,,,,,2.44,12798,295080,576,41291,295080,2.44,12798,719021,145,45810,719021,,,
2029,11752,300691,,,,,,,15.7,13002,449062,,,,72231,11752,300691,337,11752,300691,4053,16514,300711,,,,,,,2.45,13002,300691,580,42085,300691,2.45,13002,733332,146,46630,733332,,,
2054,11938,306372,,,,,,,15.8,13209,457725,,,,73706,11938,306372,341,11938,306372,4134,16810,306392,,,,,,,2.46,13209,306372,584,42889,306372,2.46,13209,747831,147,47459,747831,,,
2080,12126,312123,,,,,,,15.9,13418,466498,,,,75200,12126,312123,346,12126,312123,4217,17110,312143,,,,,,,2.47,13418,312123,588,43703,312123,2.47,13418,762519,148,48297,762519,,,
2105,12315,317946,,,,,,,16,13629,475382,,,,76714,12315,317946,351,12315,317946,4301,17413,317966,,,,,,,2.48,13629,317946,592,44527,317946,2.48,13629,777399,149,49145,777399,,,
2131,12506,323840,,,,,,,16.1,13842,484378,,,,78249,12506,323840,356,12506,323840,4386,17719,323860,,,,,,,2.49,13842,323840,596,45362,323840,2.49,13842,792471,150,50002,792471,,,
2157,12699,329807,,,,,,,16.2,14056,493487,,,,79804,12699,329807,360,12699,329807,4472,18030,329827,,,,,,,2.5,14056,329807,600,46206,329807,2.5,14056,807736,,,,,,
2183,12894,335845,,,,,,,16.3,14273,502708,,,,81380,12894,335845,365,12894,335845,4559,18343,335865,,,,,,,,,,,,,,,,,,,,,
2209,13091,341957,,,,,,,16.4,14492,512043,,,,82976,13091,341957,370,13091,341957,4647,18660,341977,,,,,,,,,,,,,,,,,,,,,
2235,13289,348141,,,,,,,16.5,14713,521493,,,,84593,13289,348141,375,13289,348141,4737,18981,348161,,,,,,,,,,,,,,,,,,,,,
2262,13489,354400,,,,,,,16.6,14936,531058,,,,86231,13489,354400,380,13489,354400,4827,19306,354420,,,,,,,,,,,,,,,,,,,,,
2288,13691,360732,,,,,,,16.7,15161,540739,,,,87890,13691,360732,385,13691,360732,4919,19634,360752,,,,,,,,,,,,,,,,,,,,,
2315,13895,367140,,,,,,,16.8,15388,550537,,,,89570,13895,367140,390,13895,367140,5012,19965,367160,,,,,,,,,,,,,,,,,,,,,
2342,14101,373622,,,,,,,16.9,15617,560451,,,,91271,14101,373622,395,14101,373622,5106,20301,373642,,,,,,,,,,,,,,,,,,,,,
2369,14308,380179,,,,,,,17,15848,570484,,,,92994,14308,380179,400,14308,380179,5201,20640,380199,,,,,,,,,,,,,,,,,,,,,
2396,14518,386813,,,,,,,17.1,16082,580635,,,,94739,14518,386813,405,14518,386813,5297,20982,386833,,,,,,,,,,,,,,,,,,,,,
2424,14729,393522,,,,,,,17.2,16317,590906,,,,96505,14729,393522,411,14729,393522,5395,21329,393542,,,,,,,,,,,,,,,,,,,,,
2451,14942,400309,,,,,,,17.3,16555,601297,,,,98293,14942,400309,416,14942,400309,5494,21679,400329,,,,,,,,,,,,,,,,,,,,,
2479,15157,407173,,,,,,,17.4,16794,611808,,,,100103,15157,407173,421,15157,407173,5594,22033,407193,,,,,,,,,,,,,,,,,,,,,
2507,15374,414114,,,,,,,17.5,17036,622442,,,,101936,15374,414114,426,15374,414114,5695,22390,414134,,,,,,,,,,,,,,,,,,,,,
2535,15592,421133,,,,,,,17.6,17280,633197,,,,103790,15592,421133,432,15592,421133,5798,22752,421153,,,,,,,,,,,,,,,,,,,,,
2563,15813,428231,,,,,,,17.7,17526,644075,,,,105667,15813,428231,437,15813,428231,5901,23117,428251,,,,,,,,,,,,,,,,,,,,,
2591,16035,435407,,,,,,,17.8,17774,655076,,,,107567,16035,435407,442,16035,435407,6006,23486,435427,,,,,,,,,,,,,,,,,,,,,
2620,16260,442663,,,,,,,17.9,18025,666202,,,,109489,16260,442663,448,16260,442663,6113,23859,442683,,,,,,,,,,,,,,,,,,,,,
2649,16486,449999,,,,,,,18,18277,677453,,,,111434,16486,449999,453,16486,449999,6220,24236,450019,,,,,,,,,,,,,,,,,,,,,
2677,16714,457415,,,,,,,18.1,18532,688829,,,,113402,16714,457415,458,16714,457415,6329,24616,457435,,,,,,,,,,,,,,,,,,,,,
2706,16944,464912,,,,,,,18.2,18789,700332,,,,115393,16944,464912,464,16944,464912,6439,25001,464932,,,,,,,,,,,,,,,,,,,,,
2735,17176,472489,,,,,,,18.3,19048,711961,,,,117407,17176,472489,469,17176,472489,6550,25390,472509,,,,,,,,,,,,,,,,,,,,,
2765,17410,480148,,,,,,,18.4,19309,723719,,,,119445,17410,480148,475,17410,480148,6663,25782,480168,,,,,,,,,,,,,,,,,,,,,
2794,17646,487889,,,,,,,18.5,19572,735605,,,,121506,17646,487889,481,17646,487889,6777,26178,487909,,,,,,,,,,,,,,,,,,,,,
2823,17884,495713,,,,,,,18.6,19838,747620,,,,123590,17884,495713,486,17884,495713,6892,26579,495733,,,,,,,,,,,,,,,,,,,,,
2853,18124,503619,,,,,,,18.7,20106,759764,,,,125699,18124,503619,492,18124,503619,7008,26983,503639,,,,,,,,,,,,,,,,,,,,,
2883,18366,511608,,,,,,,18.8,20376,772039,,,,127831,18366,511608,498,18366,511608,7126,27392,511628,,,,,,,,,,,,,,,,,,,,,
2913,18610,519682,,,,,,,18.9,20648,784446,,,,129987,18610,519682,503,18610,519682,7245,27804,519702,,,,,,,,,,,,,,,,,,,,,
2943,18855,527839,,,,,,,19,20923,796984,,,,132168,18855,527839,509,18855,527839,7365,28221,527859,,,,,,,,,,,,,,,,,,,,,
2973,19103,536081,,,,,,,19.1,21200,809655,,,,134372,19103,536081,515,19103,536081,7487,28641,536101,,,,,,,,,,,,,,,,,,,,,
3004,19353,544407,,,,,,,19.2,21479,822459,,,,136602,19353,544407,521,19353,544407,7610,29066,544427,,,,,,,,,,,,,,,,,,,,,
3035,19605,552820,,,,,,,19.3,21760,835397,,,,138855,19605,552820,526,19605,552820,7735,29495,552840,,,,,,,,,,,,,,,,,,,,,
3065,19858,561318,,,,,,,19.4,22044,848470,,,,141134,19858,561318,532,19858,561318,7861,29928,561338,,,,,,,,,,,,,,,,,,,,,
3096,20114,569902,,,,,,,19.5,22330,861678,,,,143437,20114,569902,538,20114,569902,7988,30365,569922,,,,,,,,,,,,,,,,,,,,,
3127,20372,578573,,,,,,,19.6,22618,875022,,,,145765,20372,578573,544,20372,578573,8116,30807,578593,,,,,,,,,,,,,,,,,,,,,
3159,20631,587331,,,,,,,19.7,22908,888503,,,,148118,20631,587331,550,20631,587331,8246,31252,587351,,,,,,,,,,,,,,,,,,,,,
3190,20893,596177,,,,,,,19.8,23201,902121,,,,150497,20893,596177,556,20893,596177,8378,31702,596197,,,,,,,,,,,,,,,,,,,,,
3222,21157,605110,,,,,,,19.9,23496,915878,,,,152901,21157,605110,562,21157,605110,8510,32156,605130,,,,,,,,,,,,,,,,,,,,,
3253,21423,614132,,,,,,,20,23793,929773,,,,155330,21423,614132,568,21423,614132,8644,32614,614152,,,,,,,,,,,,,,,,,,,,,
3285,21691,623243,,,,,,,,,,,,,157785,21691,623243,574,21691,623243,8780,33077,623263,,,,,,,,,,,,,,,,,,,,,
3317,21961,632444,,,,,,,,,,,,,160266,21961,632444,581,21961,632444,8917,33544,632464,,,,,,,,,,,,,,,,,,,,,
3349,22233,641734,,,,,,,,,,,,,162773,22233,641734,587,22233,641734,9055,34015,641754,,,,,,,,,,,,,,,,,,,,,
3382,22507,651114,,,,,,,,,,,,,165306,22507,651114,593,22507,651114,9195,34491,651134,,,,,,,,,,,,,,,,,,,,,
3414,22783,660585,,,,,,,,,,,,,167865,22783,660585,599,22783,660585,9336,34971,660605,,,,,,,,,,,,,,,,,,,,,
3447,23061,670147,,,,,,,,,,,,,170450,23061,670147,605,23061,670147,9479,35455,670167,,,,,,,,,,,,,,,,,,,,,
3479,23342,679800,,,,,,,,,,,,,173062,23342,679800,612,23342,679800,9623,35944,679820,,,,,,,,,,,,,,,,,,,,,
3512,23624,689545,,,,,,,,,,,,,175700,23624,689545,618,23624,689545,9769,36437,689565,,,,,,,,,,,,,,,,,,,,,
3546,23909,699383,,,,,,,,,,,,,178365,23909,699383,624,23909,699383,9916,36934,699403,,,,,,,,,,,,,,,,,,,,,
3579,24195,709313,,,,,,,,,,,,,181057,24195,709313,631,24195,709313,10065,37436,709333,,,,,,,,,,,,,,,,,,,,,
3612,24484,719337,,,,,,,,,,,,,183776,24484,719337,637,24484,719337,10215,37943,719357,,,,,,,,,,,,,,,,,,,,,
3646,24775,729454,,,,,,,,,,,,,186522,24775,729454,644,24775,729454,10366,38454,729474,,,,,,,,,,,,,,,,,,,,,
3679,25068,739665,,,,,,,,,,,,,189295,25068,739665,650,25068,739665,10519,38969,739685,,,,,,,,,,,,,,,,,,,,,
3713,25363,749971,,,,,,,,,,,,,192096,25363,749971,657,25363,749971,10674,39489,749991,,,,,,,,,,,,,,,,,,,,,
3747,25660,760372,,,,,,,,,,,,,194924,25660,760372,663,25660,760372,10830,40014,760392,,,,,,,,,,,,,,,,,,,,,
3781,25960,770868,,,,,,,,,,,,,197780,25960,770868,670,25960,770868,10988,40543,770888,,,,,,,,,,,,,,,,,,,,,
3816,26262,781460,,,,,,,,,,,,,200663,26262,781460,677,26262,781460,11147,41077,781480,,,,,,,,,,,,,,,,,,,,,
3850,26565,792148,,,,,,,,,,,,,203575,26565,792148,683,26565,792148,11307,41615,792168,,,,,,,,,,,,,,,,,,,,,
3885,26871,802933,,,,,,,,,,,,,206514,26871,802933,690,26871,802933,11470,42158,802953,,,,,,,,,,,,,,,,,,,,,
3920,27179,813815,,,,,,,,,,,,,209482,27179,813815,697,27179,813815,11633,42706,813835,,,,,,,,,,,,,,,,,,,,,
3955,27490,824794,,,,,,,,,,,,,212478,27490,824794,703,27490,824794,11799,43258,824814,,,,,,,,,,,,,,,,,,,,,
3990,27802,835872,,,,,,,,,,,,,215503,27802,835872,710,27802,835872,11966,43815,835892,,,,,,,,,,,,,,,,,,,,,
4025,28117,847047,,,,,,,,,,,,,218556,28117,847047,717,28117,847047,12134,44377,847067,,,,,,,,,,,,,,,,,,,,,
4060,28434,858322,,,,,,,,,,,,,221638,28434,858322,724,28434,858322,12304,44943,858342,,,,,,,,,,,,,,,,,,,,,
4096,28753,869696,,,,,,,,,,,,,224749,28753,869696,731,28753,869696,12476,45515,869716,,,,,,,,,,,,,,,,,,,,,
4132,29074,881170,,,,,,,,,,,,,227889,29074,881170,738,29074,881170,12649,46091,881190,,,,,,,,,,,,,,,,,,,,,
4167,29398,892744,,,,,,,,,,,,,231057,29398,892744,745,29398,892744,12824,46671,892764,,,,,,,,,,,,,,,,,,,,,
4204,29723,904418,,,,,,,,,,,,,234256,29723,904418,752,29723,904418,13001,47257,904438,,,,,,,,,,,,,,,,,,,,,
4240,30052,916194,,,,,,,,,,,,,237483,30052,916194,759,30052,916194,13179,47848,916214,,,,,,,,,,,,,,,,,,,,,
4276,30382,928070,,,,,,,,,,,,,240741,30382,928070,766,30382,928070,13358,48443,928090,,,,,,,,,,,,,,,,,,,,,
4312,30714,940049,,,,,,,,,,,,,244027,30714,940049,773,30714,940049,13540,49043,940069,,,,,,,,,,,,,,,,,,,,,
4349,31049,952130,,,,,,,,,,,,,247344,31049,952130,780,31049,952130,13723,49648,952150,,,,,,,,,,,,,,,,,,,,,
4386,31386,964314,,,,,,,,,,,,,250691,31386,964314,787,31386,964314,13907,50258,964334,,,,,,,,,,,,,,,,,,,,,
4423,31725,976601,,,,,,,,,,,,,254067,31725,976601,794,31725,976601,14094,50873,976621,,,,,,,,,,,,,,,,,,,,,
4460,32067,988992,,,,,,,,,,,,,257474,32067,988992,801,32067,988992,14282,51493,989012,,,,,,,,,,,,,,,,,,,,,
4497,32411,1001486,,,,,,,,,,,,,260912,32411,1001486,809,32411,1001486,14471,52117,1001506,,,,,,,,,,,,,,,,,,,,,
4535,32757,1014086,,,,,,,,,,,,,264379,32757,1014086,816,32757,1014086,14663,52747,1014106,,,,,,,,,,,,,,,,,,,,,
4572,33105,1026790,,,,,,,,,,,,,267878,33105,1026790,823,33105,1026790,14856,53382,1026810,,,,,,,,,,,,,,,,,,,,,
4610,33456,1039599,,,,,,,,,,,,,271407,33456,1039599,831,33456,1039599,15050,54022,1039619,,,,,,,,,,,,,,,,,,,,,
4648,33809,1052514,,,,,,,,,,,,,274967,33809,1052514,838,33809,1052514,15247,54667,1052534,,,,,,,,,,,,,,,,,,,,,
4686,34165,1065536,,,,,,,,,,,,,278558,34165,1065536,845,34165,1065536,15445,55317,1065556,,,,,,,,,,,,,,,,,,,,,
4724,34522,1078664,,,,,,,,,,,,,282181,34522,1078664,853,34522,1078664,15645,55972,1078684,,,,,,,,,,,,,,,,,,,,,
4762,34882,1091899,,,,,,,,,,,,,285834,34882,1091899,860,34882,1091899,15846,56632,1091919,,,,,,,,,,,,,,,,,,,,,
4801,35245,1105241,,,,,,,,,,,,,289519,35245,1105241,868,35245,1105241,16050,57297,1105261,,,,,,,,,,,,,,,,,,,,,
4839,35610,1118692,,,,,,,,,,,,,293236,35610,1118692,875,35610,1118692,16255,57968,1118712,,,,,,,,,,,,,,,,,,,,,
4878,35977,1132251,,,,,,,,,,,,,296984,35977,1132251,883,35977,1132251,16461,58643,1132271,,,,,,,,,,,,,,,,,,,,,
4917,36346,1145919,,,,,,,,,,,,,300764,36346,1145919,891,36346,1145919,16670,59324,1145939,,,,,,,,,,,,,,,,,,,,,
4956,36718,1159696,,,,,,,,,,,,,304576,36718,1159696,898,36718,1159696,16880,60010,1159716,,,,,,,,,,,,,,,,,,,,,
4996,37092,1173583,,,,,,,,,,,,,308420,37092,1173583,906,37092,1173583,17092,60701,1173603,,,,,,,,,,,,,,,,,,,,,
5035,37469,1187579,,,,,,,,,,,,,312297,37469,1187579,914,37469,1187579,17306,61397,1187599,,,,,,,,,,,,,,,,,,,,,
5074,37848,1201687,,,,,,,,,,,,,316205,37848,1201687,921,37848,1201687,17522,62099,1201707,,,,,,,,,,,,,,,,,,,,,
5114,38229,1215905,,,,,,,,,,,,,320147,38229,1215905,929,38229,1215905,17739,62806,1215925,,,,,,,,,,,,,,,,,,,,,
5154,38613,1230235,,,,,,,,,,,,,324121,38613,1230235,937,38613,1230235,17958,63518,1230255,,,,,,,,,,,,,,,,,,,,,
5194,38999,1244677,,,,,,,,,,,,,328127,38999,1244677,945,38999,1244677,18179,64236,1244697,,,,,,,,,,,,,,,,,,,,,
5234,39387,1259231,,,,,,,,,,,,,332167,39387,1259231,953,39387,1259231,18402,64959,1259251,,,,,,,,,,,,,,,,,,,,,
5275,39778,1273897,,,,,,,,,,,,,336240,39778,1273897,960,39778,1273897,18627,65687,1273917,,,,,,,,,,,,,,,,,,,,,
5315,40172,1288677,,,,,,,,,,,,,340346,40172,1288677,968,40172,1288677,18853,66421,1288697,,,,,,,,,,,,,,,,,,,,,
5356,40567,1303570,,,,,,,,,,,,,344485,40567,1303570,976,40567,1303570,19082,67160,1303590,,,,,,,,,,,,,,,,,,,,,
5397,40966,1318578,,,,,,,,,,,,,348658,40966,1318578,984,40966,1318578,19312,67904,1318598,,,,,,,,,,,,,,,,,,,,,
5437,41366,1333700,,,,,,,,,,,,,352864,41366,1333700,992,41366,1333700,19544,68654,1333720,,,,,,,,,,,,,,,,,,,,,
5479,41770,1348936,,,,,,,,,,,,,357104,41770,1348936,1000,41770,1348936,19778,69410,1348956,,,,,,,,,,,,,,,,,,,,,
5520,42175,1364289,,,,,,,,,,,,,361378,42175,1364289,1009,42175,1364289,20013,70170,1364309,,,,,,,,,,,,,,,,,,,,,
5561,42583,1379756,,,,,,,,,,,,,365686,42583,1379756,1017,42583,1379756,20251,70937,1379776,,,,,,,,,,,,,,,,,,,,,
5603,42994,1395340,,,,,,,,,,,,,370028,42994,1395340,1025,42994,1395340,20491,71709,1395360,,,,,,,,,,,,,,,,,,,,,
5645,43407,1411041,,,,,,,,,,,,,374404,43407,1411041,1033,43407,1411041,20732,72486,1411061,,,,,,,,,,,,,,,,,,,,,
5686,43822,1426859,,,,,,,,,,,,,378814,43822,1426859,1041,43822,1426859,20975,73269,1426879,,,,,,,,,,,,,,,,,,,,,
5728,44240,1442794,,,,,,,,,,,,,383260,44240,1442794,1050,44240,1442794,21220,74057,1442814,,,,,,,,,,,,,,,,,,,,,
5771,44661,1458847,,,,,,,,,,,,,387739,44661,1458847,1058,44661,1458847,21467,74852,1458867,,,,,,,,,,,,,,,,,,,,,
5813,45084,1475018,,,,,,,,,,,,,392254,45084,1475018,1066,45084,1475018,21716,75651,1475038,,,,,,,,,,,,,,,,,,,,,
5855,45510,1491309,,,,,,,,,,,,,396804,45510,1491309,1075,45510,1491309,21967,76457,1491329,,,,,,,,,,,,,,,,,,,,,
5898,45938,1507718,,,,,,,,,,,,,401388,45938,1507718,1083,45938,1507718,22220,77268,1507738,,,,,,,,,,,,,,,,,,,,,
5941,46368,1524247,,,,,,,,,,,,,406008,46368,1524247,1091,46368,1524247,22475,78084,1524267,,,,,,,,,,,,,,,,,,,,,
5984,46801,1540896,,,,,,,,,,,,,410663,46801,1540896,1100,46801,1540896,22732,78907,1540916,,,,,,,,,,,,,,,,,,,,,
6027,47237,1557666,,,,,,,,,,,,,415354,47237,1557666,1108,47237,1557666,22990,79735,1557686,,,,,,,,,,,,,,,,,,,,,
6070,47675,1574557,,,,,,,,,,,,,420080,47675,1574557,1117,47675,1574557,23251,80569,1574577,,,,,,,,,,,,,,,,,,,,,
6114,48116,1591569,,,,,,,,,,,,,424842,48116,1591569,1125,48116,1591569,23514,81408,1591589,,,,,,,,,,,,,,,,,,,,,
6157,48559,1608703,,,,,,,,,,,,,429640,48559,1608703,1134,48559,1608703,23778,82254,1608723,,,,,,,,,,,,,,,,,,,,,
6201,49005,1625959,,,,,,,,,,,,,434474,49005,1625959,1143,49005,1625959,24045,83105,1625979,,,,,,,,,,,,,,,,,,,,,
6245,49454,1643338,,,,,,,,,,,,,439344,49454,1643338,1151,49454,1643338,24314,83962,1643358,,,,,,,,,,,,,,,,,,,,,
6289,49905,1660840,,,,,,,,,,,,,444251,49905,1660840,1160,49905,1660840,24584,84825,1660860,,,,,,,,,,,,,,,,,,,,,
6333,50358,1678465,,,,,,,,,,,,,449193,50358,1678465,1169,50358,1678465,24857,85693,1678485,,,,,,,,,,,,,,,,,,,,,
6377,50814,1696215,,,,,,,,,,,,,454173,50814,1696215,1177,50814,1696215,25131,86568,1696235,,,,,,,,,,,,,,,,,,,,,
6422,51273,1714089,,,,,,,,,,,,,459189,51273,1714089,1186,51273,1714089,25408,87448,1714109,,,,,,,,,,,,,,,,,,,,,
6467,51735,1732087,,,,,,,,,,,,,464242,51735,1732087,1195,51735,1732087,25687,88335,1732107,,,,,,,,,,,,,,,,,,,,,
6511,52199,1750211,,,,,,,,,,,,,469331,52199,1750211,1204,52199,1750211,25967,89227,1750231,,,,,,,,,,,,,,,,,,,,,
6556,52665,1768461,,,,,,,,,,,,,474458,52665,1768461,1213,52665,1768461,26250,90125,1768481,,,,,,,,,,,,,,,,,,,,,
6601,53135,1786837,,,,,,,,,,,,,479622,53135,1786837,1222,53135,1786837,26535,91029,1786857,,,,,,,,,,,,,,,,,,,,,
6647,53607,1805340,,,,,,,,,,,,,484824,53607,1805340,1231,53607,1805340,26822,91940,1805360,,,,,,,,,,,,,,,,,,,,,
6692,54081,1823969,,,,,,,,,,,,,490063,54081,1823969,1239,54081,1823969,27111,92856,1823989,,,,,,,,,,,,,,,,,,,,,
6738,54558,1842726,,,,,,,,,,,,,495340,54558,1842726,1248,54558,1842726,27402,93778,1842746,,,,,,,,,,,,,,,,,,,,,
6783,55038,1861611,,,,,,,,,,,,,500654,55038,1861611,1258,55038,1861611,27695,94706,1861631,,,,,,,,,,,,,,,,,,,,,
6829,55521,1880625,,,,,,,,,,,,,506006,55521,1880625,1267,55521,1880625,27990,95640,1880645,,,,,,,,,,,,,,,,,,,,,
6875,56006,1899767,,,,,,,,,,,,,511397,56006,1899767,1276,56006,1899767,28287,96581,1899787,,,,,,,,,,,,,,,,,,,,,
6922,56494,1919038,,,,,,,,,,,,,516825,56494,1919038,1285,56494,1919038,28587,97527,1919058,,,,,,,,,,,,,,,,,,,,,
6968,56984,1938439,,,,,,,,,,,,,522292,56984,1938439,1294,56984,1938439,28888,98480,1938459,,,,,,,,,,,,,,,,,,,,,
7014,57478,1957970,,,,,,,,,,,,,527797,57478,1957970,1303,57478,1957970,29192,99439,1957990,,,,,,,,,,,,,,,,,,,,,
7061,57974,1977631,,,,,,,,,,,,,533341,57974,1977631,1312,57974,1977631,29497,100404,1977651,,,,,,,,,,,,,,,,,,,,,
